network,time,latitude,longitude,depth,magnitude,azimuthal_gap,event_description,associated_phase_count,event_id,horizontal_uncertainty,local_magnitude,moment_magnitude,duration_magnitude,magnitude_type,p_phase_count,s_phase_count,p_pick_count,s_pick_count,standard_error,used_phase_count,station_count,vertical_uncertainty,updated,author,agency_id,creation_time,version,path
GCI,2024-04-30 17:14:45.600,61.0341,-151.9214,88900.0,2.8,,SOUTHERN ALASKA,0.0,smi:service.iris.edu/fdsnws/event/1/query?eventid=11834954,,2.4,,,ML,5605.0,6809.0,5605.0,6809.0,,12414.0,2.0,,2026-04-17 09:14:25.105462016,,,,,2024/04/30/query?eventid=11834954.xml
GCI,2024-07-09 15:40:36.778,59.6397,-153.3553,118000.0,2.1,,SOUTHERN ALASKA,0.0,smi:service.iris.edu/fdsnws/event/1/query?eventid=11860897,,2.1,,,ml,4840.0,8660.0,4840.0,8660.0,,13500.0,2.0,,2026-04-17 09:14:26.009462528,,,,,2024/07/09/query?eventid=11860897.xml
GCI,2024-06-05 12:33:37.965,60.7026,-151.7973,76500.0,2.7,,"KENAI PENINSULA, ALASKA",0.0,smi:service.iris.edu/fdsnws/event/1/query?eventid=11849235,,2.7,,,ML,4692.0,9018.0,4692.0,9018.0,,13710.0,2.0,,2026-04-17 09:14:27.332463360,,,,,2024/06/05/query?eventid=11849235.xml
GCI,2024-05-25 21:01:25.655,59.2973,-152.457,64599.99999999999,1.9,,SOUTHERN ALASKA,0.0,smi:service.iris.edu/fdsnws/event/1/query?eventid=11845491,,1.9,,,ml,4640.0,8931.0,4640.0,8931.0,,13571.0,2.0,,2026-04-17 09:14:29.586464512,,,,,2024/05/25/query?eventid=11845491.xml
GCI,2024-06-15 20:38:27.184,60.6079,-152.2589,93000.0,1.9,,SOUTHERN ALASKA,0.0,smi:service.iris.edu/fdsnws/event/1/query?eventid=11853190,,1.9,,,ml,5615.0,7977.0,5615.0,7977.0,,13592.0,2.0,,2026-04-17 09:14:30.029464832,,,,,2024/06/15/query?eventid=11853190.xml
GCI,2024-05-27 21:50:51.232,60.9955,-150.9727,13300.0,2.8,,"KENAI PENINSULA, ALASKA",0.0,smi:service.iris.edu/fdsnws/event/1/query?eventid=11845955,,2.8,,,ML,4653.0,8736.0,4653.0,8736.0,,13389.0,2.0,,2026-04-17 09:14:32.279465728,,,,,2024/05/27/query?eventid=11845955.xml
GCI,2024-11-10 12:41:07.458,59.5984,-153.409,121100.0,3.3,,SOUTHERN ALASKA,0.0,smi:service.iris.edu/fdsnws/event/1/query?eventid=11901560,,2.8,,,ML,3656.0,10308.0,3656.0,10308.0,,13964.0,2.0,,2026-04-17 09:14:33.197466112,,,,,2024/11/10/query?eventid=11901560.xml
GCI,2024-06-14 17:36:47.240,61.4766,-151.9024,92100.0,3.0,,SOUTHERN ALASKA,0.0,smi:service.iris.edu/fdsnws/event/1/query?eventid=11852806,,3.0,,,ML,6469.0,7544.0,6469.0,7544.0,,14013.0,2.0,,2026-04-17 09:14:37.049468160,,,,,2024/06/14/query?eventid=11852806.xml
GCI,2024-05-27 07:50:19.938,60.1103,-150.7509,38400.0,2.2,,"KENAI PENINSULA, ALASKA",0.0,smi:service.iris.edu/fdsnws/event/1/query?eventid=11845824,,2.2,,,ml,4894.0,9763.0,4894.0,9763.0,,14657.0,2.0,,2026-04-17 09:14:38.550468864,,,,,2024/05/27/query?eventid=11845824.xml
GCI,2024-07-13 06:07:46.381,58.6696,-155.0606,140200.0,3.6,,ALASKA PENINSULA,0.0,smi:service.iris.edu/fdsnws/event/1/query?eventid=11862187,,3.6,,,ML,1951.0,12486.0,1951.0,12486.0,,14437.0,2.0,,2026-04-17 09:14:40.942470656,,,,,2024/07/13/query?eventid=11862187.xml
GCI,2024-07-23 21:51:39.979,60.1782,-150.5298,27000.0,2.5,,"KENAI PENINSULA, ALASKA",0.0,smi:service.iris.edu/fdsnws/event/1/query?eventid=11865793,,2.5,,,ML,5352.0,10539.0,5352.0,10539.0,,15891.0,2.0,,2026-04-17 09:14:41.509470976,,,,,2024/07/23/query?eventid=11865793.xml
GCI,2024-05-20 02:06:02.396,59.4354,-153.7799,126500.0,2.6,,SOUTHERN ALASKA,0.0,smi:service.iris.edu/fdsnws/event/1/query?eventid=11843403,,2.6,,,ml,3934.0,12092.0,3934.0,12092.0,,16026.0,2.0,,2026-04-17 09:14:43.495471872,,,,,2024/05/20/query?eventid=11843403.xml
GCI,2024-06-03 22:54:31.243,59.226,-152.7163,77400.0,1.9,,SOUTHERN ALASKA,0.0,smi:service.iris.edu/fdsnws/event/1/query?eventid=11848651,,1.9,,,ml,4810.0,11023.0,4810.0,11023.0,,15833.0,2.0,,2026-04-17 09:14:46.095473664,,,,,2024/06/03/query?eventid=11848651.xml
GCI,2024-11-10 05:19:58.577,60.1041,-152.6345,93600.0,2.0,,SOUTHERN ALASKA,0.0,smi:service.iris.edu/fdsnws/event/1/query?eventid=11901506,,2.0,,,ml,3143.0,11819.0,3143.0,11819.0,,14962.0,2.0,,2026-04-17 09:14:47.089474304,,,,,2024/11/10/query?eventid=11901506.xml
