sta_id,network,station,latitude,longitude,elevation,starttime,endtime,site_name
TX.PB02,TX,PB02,31.408951,-103.510162,792.0,2017-01-27 00:00:00.000,2020-07-30 13:00:00,Crockett Middle School (Pecos)
TX.PB15,TX,PB15,31.2114,-103.08439,743.0,2019-06-27 12:00:00.000,2020-09-01 20:46:00,South of Coyonosa
TX.DG01,TX,DG01,31.377576,-103.271077,787.0,2019-11-21 00:00:00.000,,Pecos City Water
TX.DG03,TX,DG03,31.38856,-103.48416,830.0,2020-03-06 18:00:00.000,2023-11-30 19:37:26,CR 118
TX.DG02,TX,DG02,31.40151,-103.54313,804.0,2020-05-22 16:30:29.000,,Reeves Cemetery
TX.DG04,TX,DG04,31.28734,-103.41261,795.0,2020-06-02 20:33:00.000,,CR 113
TX.DG05,TX,DG05,31.17007,-103.493279,837.0,2020-06-02 22:34:00.000,,CR 112
TX.DG06,TX,DG06,31.4124,-103.4845,785.0,2020-06-03 16:37:00.000,,Reeves County Rodeo
TX.DG07,TX,DG07,31.452888,-103.52788,794.0,2020-06-04 00:00:00.000,,CR 405
TX.DG08,TX,DG08,31.19053,-103.7242,895.0,2020-06-04 17:00:00.000,,CR 336
TX.DG09,TX,DG09,31.37222,-103.51277,795.0,2020-06-04 20:00:00.000,,City of Pecos Landfill
TX.OG01,TX,OG01,31.934943,-102.305318,892.0,2020-07-08 22:30:00.000,,Odessa NE
TX.OG02,TX,OG02,31.954503,-102.323853,909.0,2020-07-09 22:30:00.000,,Odessa NNE
TX.OG03,TX,OG03,32.02737,-102.4867,921.0,2020-09-09 16:00:00.000,2023-11-01 20:26:23,Gardendale
TX.OG04,TX,OG04,31.92935,-102.35986,805.0,2020-11-17 18:00:00.000,,Ratcliff Ranch Golf Links
TX.PB33,TX,PB33,31.534929,-104.054045,1006.0,2020-06-03 22:00:00.000,,Gresham
TX.HNVL,TX,HNVL,30.75643,-95.466664,87.0,2017-04-06 21:41:12.000,2021-12-09 19:15:39,Huntsville
