/groups/igonin/ecastillo/anaconda3/envs/utdq/lib/python3.11/site-packages/obspy/core/util/base.py:26: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  import pkg_resources
UTDQBank(base_path=/groups/igonin/ecastillo/UTDQuake/bank/GCI, index_path=/groups/igonin/ecastillo/UTDQuake/bank/GCI/.index.db)
2026-04-23 12:13:05,697 [INFO:utdquake.bank] Chunk 65/450 saved: 1 events
2026-04-23 12:13:17,908 [INFO:utdquake.bank] Chunk 66/450 saved: 1 events
2026-04-23 12:13:24,490 [INFO:utdquake.bank] Chunk 67/450 saved: 1 events
2026-04-23 12:13:35,221 [INFO:utdquake.bank] Chunk 68/450 saved: 1 events
2026-04-23 12:13:46,474 [INFO:utdquake.bank] Chunk 69/450 saved: 1 events
2026-04-23 12:14:01,249 [INFO:utdquake.bank] Chunk 70/450 saved: 1 events
2026-04-23 12:14:11,397 [INFO:utdquake.bank] Chunk 71/450 saved: 1 events
2026-04-23 12:14:26,225 [INFO:utdquake.bank] Chunk 72/450 saved: 1 events
2026-04-23 12:14:37,784 [INFO:utdquake.bank] Chunk 73/450 saved: 1 events
2026-04-23 12:14:54,297 [INFO:utdquake.bank] Chunk 74/450 saved: 1 events
2026-04-23 12:15:00,181 [INFO:utdquake.bank] Chunk 75/450 saved: 1 events
2026-04-23 12:15:08,879 [INFO:utdquake.bank] Chunk 76/450 saved: 1 events
2026-04-23 12:15:23,052 [INFO:utdquake.bank] Chunk 77/450 saved: 1 events
2026-04-23 12:15:33,278 [INFO:utdquake.bank] Chunk 78/450 saved: 1 events
2026-04-23 12:15:51,672 [INFO:utdquake.bank] Chunk 79/450 saved: 1 events
2026-04-23 12:16:00,634 [INFO:utdquake.bank] Chunk 80/450 saved: 1 events
2026-04-23 12:16:11,092 [INFO:utdquake.bank] Chunk 81/450 saved: 1 events
2026-04-23 12:16:29,668 [INFO:utdquake.bank] Chunk 82/450 saved: 1 events
2026-04-23 12:16:39,221 [INFO:utdquake.bank] Chunk 83/450 saved: 1 events
2026-04-23 12:16:53,472 [INFO:utdquake.bank] Chunk 84/450 saved: 1 events
2026-04-23 12:17:03,190 [INFO:utdquake.bank] Chunk 85/450 saved: 1 events
2026-04-23 12:17:14,892 [INFO:utdquake.bank] Chunk 86/450 saved: 1 events
2026-04-23 12:17:21,221 [INFO:utdquake.bank] Chunk 87/450 saved: 1 events
2026-04-23 12:17:37,273 [INFO:utdquake.bank] Chunk 88/450 saved: 1 events
2026-04-23 12:17:48,020 [INFO:utdquake.bank] Chunk 89/450 saved: 1 events
2026-04-23 12:18:03,898 [INFO:utdquake.bank] Chunk 90/450 saved: 1 events
2026-04-23 12:18:11,824 [INFO:utdquake.bank] Chunk 91/450 saved: 1 events
2026-04-23 12:18:26,701 [INFO:utdquake.bank] Chunk 92/450 saved: 1 events
2026-04-23 12:18:34,009 [INFO:utdquake.bank] Chunk 93/450 saved: 1 events
2026-04-23 12:18:44,397 [INFO:utdquake.bank] Chunk 94/450 saved: 1 events
2026-04-23 12:18:55,748 [INFO:utdquake.bank] Chunk 95/450 saved: 1 events
2026-04-23 12:19:06,392 [INFO:utdquake.bank] Chunk 96/450 saved: 1 events
2026-04-23 12:19:12,485 [INFO:utdquake.bank] Chunk 97/450 saved: 1 events
2026-04-23 12:19:28,957 [INFO:utdquake.bank] Chunk 98/450 saved: 1 events
2026-04-23 12:19:36,270 [INFO:utdquake.bank] Chunk 99/450 saved: 1 events
2026-04-23 12:19:52,835 [INFO:utdquake.bank] Chunk 100/450 saved: 1 events
2026-04-23 12:19:57,933 [INFO:utdquake.bank] Chunk 101/450 saved: 1 events
2026-04-23 12:20:03,727 [INFO:utdquake.bank] Chunk 102/450 saved: 1 events
2026-04-23 12:20:20,012 [INFO:utdquake.bank] Chunk 103/450 saved: 1 events
2026-04-23 12:20:28,608 [INFO:utdquake.bank] Chunk 104/450 saved: 1 events
2026-04-23 12:20:37,208 [INFO:utdquake.bank] Chunk 105/450 saved: 1 events
2026-04-23 12:20:51,867 [INFO:utdquake.bank] Chunk 106/450 saved: 1 events
2026-04-23 12:20:58,491 [INFO:utdquake.bank] Chunk 107/450 saved: 1 events
2026-04-23 12:21:11,640 [INFO:utdquake.bank] Chunk 108/450 saved: 1 events
2026-04-23 12:21:28,590 [INFO:utdquake.bank] Chunk 109/450 saved: 1 events
2026-04-23 12:21:38,633 [INFO:utdquake.bank] Chunk 110/450 saved: 1 events
2026-04-23 12:21:48,851 [INFO:utdquake.bank] Chunk 111/450 saved: 1 events
2026-04-23 12:22:05,328 [INFO:utdquake.bank] Chunk 112/450 saved: 1 events
2026-04-23 12:22:12,450 [INFO:utdquake.bank] Chunk 113/450 saved: 1 events
2026-04-23 12:22:21,431 [INFO:utdquake.bank] Chunk 114/450 saved: 1 events
2026-04-23 12:22:36,240 [INFO:utdquake.bank] Chunk 115/450 saved: 1 events
2026-04-23 12:22:46,893 [INFO:utdquake.bank] Chunk 116/450 saved: 1 events
2026-04-23 12:22:58,815 [INFO:utdquake.bank] Chunk 117/450 saved: 1 events
2026-04-23 12:23:07,789 [INFO:utdquake.bank] Chunk 118/450 saved: 1 events
2026-04-23 12:23:12,620 [INFO:utdquake.bank] Chunk 119/450 saved: 1 events
2026-04-23 12:23:18,810 [INFO:utdquake.bank] Chunk 120/450 saved: 1 events
2026-04-23 12:23:25,842 [INFO:utdquake.bank] Chunk 121/450 saved: 1 events
2026-04-23 12:23:31,747 [INFO:utdquake.bank] Chunk 122/450 saved: 1 events
2026-04-23 12:23:48,944 [INFO:utdquake.bank] Chunk 123/450 saved: 1 events
2026-04-23 12:23:58,571 [INFO:utdquake.bank] Chunk 124/450 saved: 1 events
2026-04-23 12:24:10,624 [INFO:utdquake.bank] Chunk 125/450 saved: 1 events
2026-04-23 12:24:21,055 [INFO:utdquake.bank] Chunk 126/450 saved: 1 events
2026-04-23 12:24:26,838 [INFO:utdquake.bank] Chunk 127/450 saved: 1 events
2026-04-23 12:24:42,112 [INFO:utdquake.bank] Chunk 128/450 saved: 1 events
2026-04-23 12:24:49,889 [INFO:utdquake.bank] Chunk 129/450 saved: 1 events
2026-04-23 12:24:59,660 [INFO:utdquake.bank] Chunk 130/450 saved: 1 events
2026-04-23 12:25:05,791 [INFO:utdquake.bank] Chunk 131/450 saved: 1 events
2026-04-23 12:25:15,124 [INFO:utdquake.bank] Chunk 132/450 saved: 1 events
2026-04-23 12:25:31,365 [INFO:utdquake.bank] Chunk 133/450 saved: 1 events
2026-04-23 12:25:40,321 [INFO:utdquake.bank] Chunk 134/450 saved: 1 events
2026-04-23 12:25:57,216 [INFO:utdquake.bank] Chunk 135/450 saved: 1 events
2026-04-23 12:26:05,416 [INFO:utdquake.bank] Chunk 136/450 saved: 1 events
2026-04-23 12:26:17,685 [INFO:utdquake.bank] Chunk 137/450 saved: 1 events
2026-04-23 12:26:28,651 [INFO:utdquake.bank] Chunk 138/450 saved: 1 events
2026-04-23 12:26:40,357 [INFO:utdquake.bank] Chunk 139/450 saved: 1 events
2026-04-23 12:26:56,559 [INFO:utdquake.bank] Chunk 140/450 saved: 1 events
2026-04-23 12:27:01,861 [INFO:utdquake.bank] Chunk 141/450 saved: 1 events
2026-04-23 12:27:13,795 [INFO:utdquake.bank] Chunk 142/450 saved: 1 events
2026-04-23 12:27:25,731 [INFO:utdquake.bank] Chunk 143/450 saved: 1 events
2026-04-23 12:27:34,839 [INFO:utdquake.bank] Chunk 144/450 saved: 1 events
2026-04-23 12:27:38,367 [INFO:utdquake.bank] Chunk 145/450 saved: 1 events
2026-04-23 12:27:53,781 [INFO:utdquake.bank] Chunk 146/450 saved: 1 events
2026-04-23 12:27:59,659 [INFO:utdquake.bank] Chunk 147/450 saved: 1 events
2026-04-23 12:28:01,469 [INFO:utdquake.bank] Chunk 148/450 saved: 1 events
2026-04-23 12:28:06,897 [INFO:utdquake.bank] Chunk 149/450 saved: 1 events
2026-04-23 12:28:13,722 [INFO:utdquake.bank] Chunk 150/450 saved: 1 events
2026-04-23 12:28:28,166 [INFO:utdquake.bank] Chunk 151/450 saved: 1 events
2026-04-23 12:28:35,483 [INFO:utdquake.bank] Chunk 152/450 saved: 1 events
2026-04-23 12:28:46,417 [INFO:utdquake.bank] Chunk 153/450 saved: 1 events
2026-04-23 12:29:04,164 [INFO:utdquake.bank] Chunk 154/450 saved: 1 events
2026-04-23 12:29:18,685 [INFO:utdquake.bank] Chunk 155/450 saved: 1 events
2026-04-23 12:29:27,061 [INFO:utdquake.bank] Chunk 156/450 saved: 1 events
2026-04-23 12:29:41,939 [INFO:utdquake.bank] Chunk 157/450 saved: 1 events
