resource_id,time,seed_id,filter_id,method_id,horizontal_slowness,backazimuth,onset,phase_hint,polarity,evaluation_mode,event_time,evaluation_status,creation_time,author,agency_id,event_id,network,station,location,channel,uncertainty,lower_uncertainty,upper_uncertainty,confidence_level
smi:local/2df23a6f-8b2a-44f2-a2f4-d3aac2da2cbe,2023-06-10 04:43:57.012800,GCI.KKFLS..122,,,,,,s,,,2023-06-10 04:43:30.917,,,,,smi:service.iris.edu/fdsnws/event/1/query?eventid=11707158,GCI,KKFLS,,122,,,,
smi:local/038ef964-e724-4a81-a595-4a5ee4b6153d,2023-06-10 04:43:56.752800,GCI.KKFLS..123,,,,,,s,,,2023-06-10 04:43:30.917,,,,,smi:service.iris.edu/fdsnws/event/1/query?eventid=11707158,GCI,KKFLS,,123,,,,
smi:local/b5f5c3ce-ad02-410c-8659-74b306dc2b44,2023-06-10 04:43:57.292800,GCI.KKFLS..124,,,,,,s,,,2023-06-10 04:43:30.917,,,,,smi:service.iris.edu/fdsnws/event/1/query?eventid=11707158,GCI,KKFLS,,124,,,,
smi:local/89d337af-fd9b-4fed-b201-1eb18c54f993,2023-06-10 04:43:56.892800,GCI.KKFLS..125,,,,,,s,,,2023-06-10 04:43:30.917,,,,,smi:service.iris.edu/fdsnws/event/1/query?eventid=11707158,GCI,KKFLS,,125,,,,
smi:local/be597246-feb4-4080-a313-683dbb0d7967,2023-06-10 04:43:55.732800,GCI.KKFLS..126,,,,,,s,,,2023-06-10 04:43:30.917,,,,,smi:service.iris.edu/fdsnws/event/1/query?eventid=11707158,GCI,KKFLS,,126,,,,
smi:local/e8ed12e1-981c-4073-a754-8919985d3d55,2023-06-10 04:43:56.292800,GCI.KKFLS..127,,,,,,s,,,2023-06-10 04:43:30.917,,,,,smi:service.iris.edu/fdsnws/event/1/query?eventid=11707158,GCI,KKFLS,,127,,,,
smi:local/cc2d7343-9245-4149-b146-a6af008d4abe,2023-06-10 04:43:56.972800,GCI.KKFLS..128,,,,,,s,,,2023-06-10 04:43:30.917,,,,,smi:service.iris.edu/fdsnws/event/1/query?eventid=11707158,GCI,KKFLS,,128,,,,
smi:local/37765671-4994-4b1a-842d-00dede9a65fd,2023-06-10 04:43:56.412800,GCI.KKFLS..129,,,,,,s,,,2023-06-10 04:43:30.917,,,,,smi:service.iris.edu/fdsnws/event/1/query?eventid=11707158,GCI,KKFLS,,129,,,,
smi:local/72db0350-35b0-4963-bea5-605b8f105de1,2023-06-10 04:43:56.132800,GCI.KKFLS..130,,,,,,s,,,2023-06-10 04:43:30.917,,,,,smi:service.iris.edu/fdsnws/event/1/query?eventid=11707158,GCI,KKFLS,,130,,,,
smi:local/4fafb105-9d67-4712-91b2-ea35c4e3289a,2023-06-10 04:43:56.692800,GCI.KKFLS..131,,,,,,s,,,2023-06-10 04:43:30.917,,,,,smi:service.iris.edu/fdsnws/event/1/query?eventid=11707158,GCI,KKFLS,,131,,,,
smi:local/75ae7d74-9f14-4ce1-a52c-a73be8e63acd,2023-06-10 04:43:56.772800,GCI.KKFLS..132,,,,,,s,,,2023-06-10 04:43:30.917,,,,,smi:service.iris.edu/fdsnws/event/1/query?eventid=11707158,GCI,KKFLS,,132,,,,
smi:local/68c4d092-250e-44bd-809c-a9a34d65042d,2023-06-10 04:43:57.072800,GCI.KKFLS..133,,,,,,s,,,2023-06-10 04:43:30.917,,,,,smi:service.iris.edu/fdsnws/event/1/query?eventid=11707158,GCI,KKFLS,,133,,,,
